"quarter","exp_total","exp_primary","exp_personnel","exp_socialsec","exp_transfers","cpi","exp_total_real","exp_primary_real","exp_personnel_real","exp_socialsec_real","exp_transfers_real"
2000 Q1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2000 Q2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2000 Q3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2000 Q4,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2001 Q1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2001 Q2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2001 Q3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2001 Q4,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2002 Q1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2002 Q2,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2002 Q3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2002 Q4,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2003 Q1,0,0,0,0,0,96.373333333333,0,0,0,0,0
2003 Q2,0,0,0,0,0,99.75,0,0,0,0,0
2003 Q3,0,0,0,0,0,100.48666666667,0,0,0,0,0
2003 Q4,0,0,0,0,0,103.39333333333,0,0,0,0,0
2004 Q1,0,0,0,0,0,105.50666666667,0,0,0,0,0
2004 Q2,0,0,0,0,0,107.15,0,0,0,0,0
2004 Q3,0,0,0,0,0,108.61,0,0,0,0,0
2004 Q4,0,0,0,0,0,113.13,0,0,0,0,0
2005 Q1,0,0,0,0,0,114.60333333333,0,0,0,0,0
2005 Q2,0,0,0,0,0,116.37666666667,0,0,0,0,0
2005 Q3,0,0,0,0,0,117.2,0,0,0,0,0
2005 Q4,0,0,0,0,0,121.74666666667,0,0,0,0,0
2006 Q1,39374.912,28092.924,8939.794,1214.282,13139.245,123.86333333333,31788.9975510652,22680.5812858264,7217.4660243819,980.340159853629,10607.8567776315
2006 Q2,42223.653,30630.025,9585.095,1170.394,11774.235,127.55666666667,33101.8786421712,24012.8766299939,7514.38184336354,917.54827919615,9230.59163247683
2006 Q3,47824.76,33073.376,9676.136,1174.469,12888.87,129.89333333333,36818.4869636634,25461.9503182105,7449.29377951159,904.179583247816,9922.65705194031
2006 Q4,48702.708,40366.999,9611.182,1515.951,12048.856,133.71333333333,36423.2248092944,30189.2100014965,7187.90098220091,1133.73211347662,9010.96076182901
