quarter,exp_total,exp_primary,exp_personnel,exp_socialsec,exp_transfers,cpi,exp_total_real,exp_primary_real,exp_personnel_real,exp_socialsec_real,exp_transfers_real,log_exp_total_real,dlog_exp_total_real,log_exp_primary_real,dlog_exp_primary_real,log_exp_personnel_real,log_exp_socialsec_real,dlog_exp_socialsec_real,log_exp_transfers_real,dlog_exp_transfers_real
2003 Q1,0,0,0,0,0,96.373333333333,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003 Q2,0,0,0,0,0,99.75,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003 Q3,0,0,0,0,0,100.48666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003 Q4,0,0,0,0,0,103.39333333333,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004 Q1,0,0,0,0,0,105.50666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004 Q2,0,0,0,0,0,107.15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004 Q3,0,0,0,0,0,108.61,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004 Q4,0,0,0,0,0,113.13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005 Q1,0,0,0,0,0,114.60333333333,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005 Q2,0,0,0,0,0,116.37666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005 Q3,0,0,0,0,0,117.2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005 Q4,0,0,0,0,0,121.74666666667,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006 Q1,39374.912,28092.924,8939.794,1214.282,13139.245,123.86333333333,31788.9975510652,22680.5812858264,7217.4660243819,980.340159853629,10607.8567776315,10.366875519940065,NA,10.029264387399774,NA,8.884259204131746,6.88789961333015,NA,9.269350210980003,NA
2006 Q2,42223.653,30630.025,9585.095,1170.394,11774.235,127.55666666667,33101.8786421712,24012.8766299939,7514.38184336354,917.54827919615,9230.59163247683,10.407345316315626,0.04046979637556092,10.086345491701081,0.057081104301307306,8.924574042431717,6.821705198921597,-0.06619441440855311,9.13027842430255,-0.13907178667745335
2006 Q3,47824.76,33073.376,9676.136,1174.469,12888.87,129.89333333333,36818.4869636634,25461.9503182105,7449.29377951159,904.179583247816,9922.65705194031,10.51375536115793,0.10641004484230443,10.144940472406526,0.05859498070544511,8.915874512183873,6.807027994698271,-0.014677204223326079,9.202576012391907,0.07229758808935749
2006 Q4,48702.708,40366.999,9611.182,1515.951,12048.856,133.71333333333,36423.2248092944,30189.2100014965,7187.90098220091,1133.73211347662,9010.96076182901,10.50296189437255,-0.010793466785379735,10.31523985480291,0.17029938239638298,8.88015447237742,7.033270224878542,0.22624223018027134,9.106196977750916,-0.09637903464099118
2007 Q1,49441.897,33475.107,11192.386,1405.582,14857.044,136.64333333333,36183.1754201946,24498.1633449619,8190.94918644667,1028.65025736104,10872.8641475376,10.49634952237808,-0.0066123719944695125,10.106353428211005,-0.2088864265919046,9.010785065912753,6.936002792113219,-0.09726743276532357,9.294025436441407,0.18782845869049147
2007 Q2,51237.546,40310.87,10781.312,1319.885,17918.602,139.68333333333,36681.2165612704,28858.7543252602,7718.39541820803,944.912301634672,12828.0171817209,10.510020092703446,0.013670570325365006,10.27016866872343,0.16381524051242558,8.951361774033181,6.851092120684331,-0.08491067142888742,9.459386900204175,0.1653614637627676
2007 Q3,53280.119,37401.965,11063.989,1367.212,14916.092,139.16666666667,38285.1154491009,26875.6634730532,7950.17173652676,982.427784431114,10718.1499401195,10.552816469060527,0.042796376357081556,10.198976452494657,-0.071192216228773475,8.980948809493894,6.89002683919074,0.038934718506408394,9.279693839518382,-0.17969306068579272
2007 Q4,50108.121,44126.85,10531.152,1711.856,15600.12,144.63,34645.7311761045,30510.1638664178,7281.44368388301,1183.6105925465,10786.2269238747,10.452929798647682,-0.09988667041284494,10.325815148604775,0.12683869611011822,8.893084429755943,7.076324869916982,0.18629803072624185,9.286025314418184,0.006331474899802458
2008 Q1,51561.873,37811.036,12512.628,1585.378,17514.374,148.68333333333,34678.9864364989,25430.5813249641,8415.62246384953,1066.27821993052,11779.6484699027,10.453889204299534,9.59405651851597e-4,10.143707717964718,-0.1821074306400572,9.037845074637813,6.971929564979005,-0.10439530493797644,9.374128615495692,0.08810330107750808
2008 Q2,49026.659,42037.687,11993.39,1467.448,17711.132,154.12333333333,31810.0173021613,27275.3554512626,7781.68350022726,952.125786707636,11491.531890045,10.36753652866512,-0.08635267563441396,10.213738842743306,0.07003112477858764,8.959527981967904,6.858697154957688,-0.11323241002131734,9.349365685719686,-0.02476292977600636
2008 Q3,64889.166,44291.174,12641.136,1481.588,17281.67,155.38,41761.5947998455,28505.0675762646,8135.62620671901,953.525550263869,11122.1971939761,10.639732411478787,0.27219588281366747,10.257837160143966,0.04409831740066039,9.004007993546013,6.8601662209728795,0.0014690660151917,9.316698137672702,-0.032667548046983796
2008 Q4,61552.864,52229.36,11709.168,1873.126,17853.261,160.43666666667,38365.8332467632,32554.5033346485,7298.3116910098,1167.51740042797,11127.9181816291,10.554922583306272,-0.08480982817251537,10.390670989361942,0.13283382921797582,8.8953983251841109,7.0626348934388155,0.20246867246593592,9.317212381098635,5.142434259326478e-4
2009 Q1,66424.698,48334.482,14496.612,1769.422,24179.364,161.12333333333,41225.9954072458,29998.4372220045,8997.21455613731,1098.17862093223,15006.7426609019,10.626824292854812,0.07190170954853947,10.308900566687576,-0.0817704226743654,9.104670314652758,7.001408287283427,-0.06122660615538855,9.61625488981146,0.2990425087128248
2009 Q2,58406.078,49254.141,13972.308,1677.018,21917.831,162.90333333333,35853.212334514,30235.1953101027,8577.05469501358,1029.45591455057,13454.5012379533,10.487188446881383,-0.13963584597342837,10.316761932421944,0.007861365734367354,9.056845857909996,6.936785703356261,-0.06462258392716613,9.507068993574146,-0.10918589623731378
2009 Q3,72338.252,54067.927,14127.952,1692.97,24107.863,163.66666666667,44198.5246435836,33035.3932790217,8632.14989816683,1034.40122199591,14729.8551934824,10.69644668840425,0.20925824152286765,10.405334789312805,0.08857285689086147,9.063248872191137,6.941578008814171,0.0047923054579106505,9.59763167868754,0.09056268511339383
2009 Q4,71050.157,63361.741,13350.015,2068.873,21770.747,169.6,41892.78125,37359.5170990566,7871.47110849057,1219.85436320755,12836.5253537736,10.642868805864564,-0.05357788253968643,10.528342966645125,0.12300817733231995,8.971000250053558,7.106486756181568,0.1649087473673969,9.460049929545345,-0.13758174914219445
2010 Q1,68372.793,53373.523,16224.015,2754.187,27719.235,176.09333333333,38827.5874536238,30309.791966382,9213.30449761507,1564.04955705311,15741.2177254489,10.566886289804614,-0.0759825160599501,10.319226106497513,-0.20911686014761166,9.128403859427312,7.355033606698601,0.24854685051703296,9.664037884001042,0.2039879544556964
2010 Q2,68121.497,55561.915,15512.171,2607.081,24101.406,177.92,38287.7118929856,31228.5943120504,8718.62129046763,1465.31081384892,13546.2039118705,10.55288428538587,-0.014002004418744107,10.349089438442794,0.02986333194528079,9.07321639551117,7.289822658572334,-0.06521094812626771,9.513861632951857,-0.15017625104918508
2010 Q3,72332.872,60608.391,15687.185,2656.608,25874.653,177.38666666667,40776.9497895362,34167.3881915207,8843.49725646405,1497.63680096209,14586.5827946479,10.615872244605583,0.06298795921971312,10.439026906470119,0.08993746802732439,9.087437694642885,7.311643678713403,0.021821020141069347,9.587857398501344,0.07399576554948695
2010 Q4,85531.562,76516.133,14891.967,3044.639,24161.787,182.2,46943.7771679473,41995.6822173436,8173.41767288694,1671.04226125137,13261.134467618,10.75670593416822,0.14083368956263698,10.645322087631815,0.2062951811616962,9.00864242019751,7.421202819269819,0.10955914055641625,9.49259281570748,-0.09526458279386318
2011 Q1,72853.24,58884.61,18773.596,3308.817,29554.312,183.74333333333,39649.46029788,32047.2089690335,10217.2936886601,1800.78206919075,16084.5628866356,10.587832615315374,-0.16887331885284596,10.374965374907314,-0.27035671272450124,9.231837023275688,7.495976332407649,0.07477351313782954,9.68561526408694,0.19302244837945892
2011 Q2,70362.118,61895.896,18063.502,3039.181,25406.513,188.39666666667,37347.8571807704,32854.0292644945,9588.01571153047,1613.18193881701,13485.6488968309,10.528030817583717,-0.05980179773165695,10.399829672844477,0.024864297937163826,9.168269234219022,7.385963867063126,-0.11001246534452314,9.509381354314577,-0.1762339097723622
2011 Q3,77653.213,65324.097,18634.798,3093.956,25061.275,188.69,41153.8571201442,34619.7980815094,9875.88001483915,1639.70321691664,13281.7186920346,10.625072934887365,0.09704211730364776,10.452180996290009,0.052351323445531506,9.197850701225528,7.402270539147318,0.01630667208419201,9.494143834237352,-0.015237520077224787
2011 Q4,93738.221,86270.631,17442.246,3407.81,30476.751,198.95333333333,47115.6825721283,43362.2445799692,8767.00365244796,1712.86901450929,15318.5425392892,10.760361187899353,0.13528825301198744,10.677344400916908,0.22516340462689932,9.078750368201703,7.445925029848403,0.04365449070108518,9.636819304257859,0.14267547002050662
2012 Q1,83849.846,66526.062,21648.081,3738.079,32293.565,203.02,41301.2737661314,32768.2307161856,10663.0287656389,1841.23682395823,15906.5929465077,10.628648620268475,-0.13171256763087769,10.397214749273612,-0.2801296516432963,9.274537781720523,7.518192811720403,0.07226778187200011,9.674488952988224,0.03766964873036471
2012 Q2,85031.129,76095.403,22176.332,3583.659,34361.504,206.14,41249.2136412147,36914.4285437082,10757.8985155719,1738.45881439798,16669.0132919375,10.627387328337841,-0.0012612919306338455,10.516357771045886,0.11914302177227398,9.283395509396975,7.460754260858398,-0.05743855086200522,9.721306783347384,0.046817830359159984
2012 Q3,89160.33,75886.748,22078.905,3578.553,30530.276,205.75666666667,43332.8997035326,36881.7930565225,10730.5903413415,1739.21606428302,14838.0494759179,10.676667433877986,0.04928010554014506,10.515473295157946,-8.844758879398285e-4,9.280853851943705,7.46118975291756,4.3549205916271205e-4,9.604950071150025,-0.11635671219735855
2012 Q4,103845.381,94962.426,20559.392,3827.917,32291.674,212.42333333333,48886.0519089248,44704.3290912807,9678.49985092676,1802.02284745872,15201.5663690432,10.79724739773884,0.12057996386085357,10.707825623591884,0.19235232843393746,9.177662194183085,7.496665117032812,0.03547536411525165,9.629153752119967,0.024203680969941743
2013 Q1,95037.413,79889.241,25093.263,4234.374,37936.129,217.65333333333,43664.5796067147,36704.8093298217,11529.0046863516,1945.4671036511,17429.6108490569,10.684292517106874,-0.11295488063196579,10.510663069866403,-0.1971625537254802,9.35262128571666,7.5732573833384995,0.0765922663056875,9.765925811762067,0.13677205964209982
2013 Q2,92832.784,84680.484,23862.6,3838.697,37395.875,220.52333333333,42096.5811629917,38399.784149826,10820.8957479936,1740.72146560457,16957.7860241549,10.647721808843075,-0.036570708263798934,10.555807117461738,0.04514404759533441,9.289234335294909,7.462054941675995,-0.11120244166250437,9.73848235979607,-0.027443451965996957
2013 Q3,106670.583,86132.954,24388.711,3963.663,35580.507,222.85333333333,47865.823411512,38650.0631207377,10943.8394459736,1778.59713413907,15965.8850364966,10.776157030021832,0.12843522117875672,10.562303687151044,0.006496569689305787,9.30053196924792,7.483580205662696,0.021525263986700516,9.678209539659752,-0.06027282013631741
2013 Q4,113683.78,107535.831,22890.793,4269.727,37830.082,228.30333333333,49795.0592048598,47102.1729862325,10026.4821655401,1870.19915025335,16570.0962170215,10.815671045337014,0.039514015315182505,10.760074414529097,0.19777072737805312,9.212985088183157,7.533800201639865,0.05021999597716942,9.7153549171039,0.0371453774441477
2014 Q1,105816.742,91845.221,29384.004,5036.538,41641.093,235.08666666667,45011.8007543311,39068.6644641687,12499.2218472618,2142.41754813824,17713.0815585739,10.71467997335896,-0.10099107197805424,10.573076004310744,-0.18699841021835262,9.433421669133587,7.669690165781929,0.13588996414206367,9.782058716689233,0.06670379958533346
2014 Q2,108039.977,95548.454,27655.087,4549.773,41321.084,241.25333333333,44782.7913949382,39605.0295678131,11463.0901127447,1885.89021222507,17127.6738145244,10.709579223961141,-0.0051007493978190155,10.586711398465784,0.013635394155040004,9.346887597267457,7.54215524952928,-0.12753491625264868,9.748450786097312,-0.033607930591921686
2014 Q3,111578.191,99772.14,27332.061,4529.697,41997.309,243.43666666667,45834.5870931516,40984.8447919371,11227.5859566484,1860.72914241895,17251.8419575247,10.73279426180619,0.023215037845048414,10.620957638131982,0.03424623966619755,9.326129060835362,7.528723701943796,-0.01343154758548426,9.755674196905272,0.007223410807959851
2014 Q4,123317.427,111673.205,25998.936,4812.933,37322.696,248.30333333333,49664.0239760515,44974.509001088,10470.6351102819,1938.32798593121,15031.0893933497,10.813036086307987,0.08024182450179751,10.713851141607124,0.09289350347514258,9.25632996203266,7.5695810175179314,0.04085731557413563,9.617875961381172,-0.13779823552409987
2015 Q1,118613.923,100522.545,32341.643,5454.576,41746.873,252.64,46949.7795281824,39788.8477675744,12801.4736383787,2159.03103229892,16524.2530873971,10.756833788740025,-0.056202297567962134,10.591341945162391,-0.12250919644473335,9.457315571279326,7.677414803870945,0.10783378635301322,9.712584464751158,0.09470850336998637
2015 Q2,118047.479,106423.081,30614.773,4889.191,45986.641,259.91666666667,45417.4334081431,40945.0776530934,11778.6879127924,1881.06098108366,17692.8403975631,10.723651306096007,-0.03318248264401724,10.619986878224493,0.02864493306210214,9.374047068386828,7.539591248277741,-0.13782355559320347,9.780915339417996,0.06833087466683807
2015 Q3,130989.256,115939.807,32083.963,5173.706,51049.986,261.21,50147.1061597948,44385.6693847862,12282.8233987979,1980.66919336932,19543.6568278397,10.822716088032134,0.09906478193612678,10.700671934717665,0.08068505649317181,9.415957093742817,7.5911900430365575,0.051598794758816346,9.880406053831292,0.09949071441329593
2015 Q4,138654.435,130415.421,30011.033,5527.308,43887.528,268.57333333333,51626.2851859213,48558.5889639087,11174.2415479324,2058.02561683962,16340.9849575537,10.85178622459601,0.029070136563875693,10.790526367731067,0.0898544330134019,9.321366546747363,7.629502363760462,0.03831232072390467,9.701431645517347,-0.17897440831394462
2016 Q1,131667.352,115201.196,38672.2,6555.241,54233.615,274.36333333333,47990.1415398079,41988.553864098,14095.2508231179,2389.25548846423,19767.0783267932,10.77875088420839,-0.07303534038761939,10.645152333077975,-0.1453740346530914,9.55359319857384,7.778737085293061,0.14923472153259887,9.891773122076897,0.19034147655954925
2016 Q2,142184.599,132260.943,38232.547,5961.312,57050.526,277.92333333333,51159.6479844568,47589.0028425111,13756.5085095412,2144.94836705569,20527.432985116,10.842706374989998,0.06395549078160734,10.770356980806985,0.12520464772901008,9.52926733725022,7.670870759769691,-0.1078663255233705,9.929517464938277,0.037744342861380176
2016 Q3,142668.773,127380.785,36735.304,6072.719,56181.065,282.20333333333,50555.3110641269,45137.944862452,13017.3175370007,2151.89485123023,19908.0090006026,10.83082328449098,-0.011883090499017257,10.71747852125472,-0.05287845955226622,9.474035868192185,7.674104059135445,0.0032332993657542275,9.898877392088178,-0.030640072850099287
2016 Q4,167550.707,158981.97,35224.072,6109.919,57381.892,288.89333333333,57997.4293857024,55031.3737480968,12192.7604190706,2114.93942400889,19862.6570360458,10.968153967610188,0.13733068311920782,10.915658733363822,0.19818021210910253,9.408597646312073,7.656781449939665,-0.017322609195780103,9.896596716970839,-0.0022806751173387596
2017 Q1,159656.847,140832.426,41903.757,6991.674,71426.412,302.38333333333,52799.4864134934,46574.1363611315,13857.8262690846,2312.18894339417,23621.1471090781,10.874256742629875,-0.09389722498031361,10.748800652326992,-0.16685808103683009,9.536605425601643,7.745949949374486,0.08916849943482141,10.069897653732058,0.17330093676121905
2017 Q2,164778.321,156612.418,39920.737,6373.951,72348.1,309.87333333333,53176.0249349202,50540.7859125239,12882.9210860353,2056.95370151247,23347.6366687466,10.881362914634355,0.007106172004480271,10.830535931128441,0.0817352788014496,9.463657766338882,7.628981381627398,-0.11696856774708841,10.058251044644718,-0.011646609087339499
2017 Q3,163785.518,144198.55,40886.795,6836.194,60279.731,311.99,52497.0409307991,46218.9653514536,13105.1620244239,2191.1580499375,19321.0458668547,10.868512083768374,-0.012850830865980711,10.741145498278241,-0.08939043285019999,9.480761479238797,7.692185472976219,0.06320409134882166,9.868950240196494,-0.18930080444822472
2017 Q4,189501.631,179367.12,39427.756,7065.119,66907.885,324.33,58428.6470570098,55303.8941818518,12156.6786914562,2178.37357012919,20629.570190855,10.975561580343038,0.107049496574664,10.92059860423277,0.17945310595452924,9.405633984285995,7.686333808587266,-0.005851664388953459,9.934480771667701,0.06553053147120735
2018 Q1,187859.121,165581.822,48227.37,8326.072,74338.216,333.46666666667,56335.2022191118,49654.6847261091,14462.426029588,2496.82287085163,22292.5477808874,10.939074880173997,-0.036486700169040986,10.812848020029397,-0.10775058420337302,9.579309256853623,7.822774350980152,0.1364405423928865,10.01200772136829,0.07752694970058904
2018 Q2,211832.09,200301.995,50341.466,8062.648,90351.107,349.52,60606.5718699931,57307.7348935683,14403.0287251087,2306.77729457542,25850.0535019455,11.012158612877045,0.07308373270304713,10.956190883009128,0.14334286297973087,9.57519379158078,7.743606718869607,-0.07916763211054523,10.16006794964219,0.1480602282739003
2018 Q3,203852.655,177241.258,52080.626,8622.014,77893.203,372.63666666667,54705.474054261504,47564.0949629215,13976.2483563076,2313.7857251478,20903.2577756705,10.909719057521118,-0.10243955535592697,10.769833448084816,-0.18635743492431267,9.545114621855461,7.7466403041349245,0.0030335852653173845,9.94766030023974,-0.21240764940245072
2018 Q4,226905.654,213363.233,50239.043,9358.568,80516.648,396.87666666667,57172.8380773199,53760.5888479204,12658.6033444478,2358.05447536176,20287.5741414208,10.953834205798637,0.04411514827751972,10.892295928409373,0.12246248032455753,9.446092369268655,7.7655921831891375,0.018951879054212917,9.917763866353239,-0.029896433886500873
2019 Q1,254443.108,221079.477,63774.218,11444.229,98310.31,399.86333333333,63632.5181103549,55288.759576189,15949.0037429456,2862.03511199662,24585.9777090508,11.0608799097068,0.10704570390816315,10.92032490421305,0.028028975803676914,9.677151645004876,7.959288228383775,0.19369604519463746,10.109931547574748,0.19216768122150896
2019 Q2,227123.811,209743.568,62061.557,10230.754,100958.923,412.26,55092.3715616359,50876.526463882,15053.9846213555,2481.62664338039,24489.1386503663,10.91676653839907,-0.14411337130773028,10.837156926498848,-0.08316797771420248,9.619397994028624,7.816669528736493,-0.14261869964728202,10.105984977844068,-0.003946569730679528
2019 Q3,258059.156,227315.489,63042.874,10520.033,106812.112,423.04,61001.1242435703,53733.805077534,14902.3435136157,2486.77028177005,25248.7027231467,11.018647573208078,0.10188103480900779,10.89179759970659,0.05464067320774291,9.609273762358908,7.818740071933736,0.002070543197243424,10.136530056082526,0.030545078238457535
2019 Q4,259863.358,241411.259,60998.313,10842.131,94189.246,437.78,59359.3489880762,55144.4239115537,13933.5540682535,2476.61633697291,21515.2007857828,10.991364910599117,-0.02728266260896106,10.91771091189184,0.025913312185249282,9.542055171938403,7.8146485272919515,-0.00409154464178485,9.976514977591822,-0.1600150784907033
2020 Q1,285329.547,247081.502,75813.704,12770.605,113736.487,448.35,63639.912345266,55109.0670235307,16909.4912456786,2848.35619493699,25367.7901193264,11.060996105097946,0.06963119449882882,10.917069537384144,-6.413745076958577e-4,9.735630355436403,7.954497333158437,0.1398488058664853,10.141235542742079,0.16472056515025635
